x	rhoN2	rhoO2	rhoNO	rhoN	rhoO	u	T	Tv
0.986250	0.003740	0.000597	0.000340	0.000001	0.000424	223.159912	3883.558562	3904.358080
0.993750	0.003758	0.000590	0.000348	0.000001	0.000434	215.216523	3862.098161	3880.945493
1.001250	0.003786	0.000585	0.000356	0.000001	0.000444	209.328544	3842.343937	3859.729009
1.008750	0.003805	0.000579	0.000361	0.000001	0.000454	207.233981	3823.903140	3840.458235
1.016250	0.003817	0.000574	0.000365	0.000001	0.000462	206.504569	3807.064920	3822.847730
1.023750	0.003828	0.000569	0.000368	0.000001	0.000469	205.807564	3791.917106	3806.783243
1.031250	0.003839	0.000564	0.000370	0.000001	0.000476	205.187006	3778.170382	3792.083854
1.038750	0.003849	0.000560	0.000372	0.000001	0.000483	204.628022	3765.602555	3778.600108
1.046250	0.003858	0.000556	0.000373	0.000001	0.000489	204.120763	3754.034857	3766.192303
1.053750	0.003867	0.000552	0.000373	0.000001	0.000495	203.657289	3743.324944	3754.728082
1.061250	0.003875	0.000549	0.000373	0.000001	0.000501	203.231255	3733.356550	3744.089470
1.068750	0.003883	0.000546	0.000373	0.000001	0.000506	202.837464	3724.033559	3734.173224
1.076250	0.003890	0.000543	0.000372	0.000001	0.000512	202.471622	3715.276106	3724.889049
1.083750	0.003897	0.000541	0.000371	0.000001	0.000517	202.130140	3707.016498	3716.160262
1.091250	0.003904	0.000539	0.000370	0.000001	0.000522	201.809963	3699.196770	3707.922321
1.098750	0.003910	0.000536	0.000369	0.000001	0.000526	201.508492	3691.768004	3700.118691
1.106250	0.003917	0.000534	0.000368	0.000001	0.000531	201.223514	3684.687709	3692.702157
1.113750	0.003923	0.000532	0.000366	0.000001	0.000535	200.953122	3677.919646	3685.631395
1.121250	0.003928	0.000530	0.000365	0.000001	0.000540	200.695696	3671.432820	3678.870138
1.128750	0.003934	0.000528	0.000363	0.000001	0.000544	200.449838	3665.199877	3672.388224
